iter	Passed	Remaining
399	69925	104888
400	70077	104678
401	70260	104516
402	70324	104177
403	70427	103897
404	70598	103718
405	70781	103556
406	70952	103378
407	71130	103208
408	71316	103051
409	71486	102871
410	71648	102678
411	71814	102492
412	71979	102305
413	72152	102129
414	72304	101923
415	72477	101747
416	72649	101570
417	72792	101352
418	72960	101169
419	73120	100975
420	73288	100793
421	73453	100606
422	73615	100416
423	73783	100234
424	73948	100047
425	74117	99867
426	74288	99689
427	74449	99497
428	74614	99311
429	74778	99125
430	74938	98933
431	75087	98725
432	75265	98557
433	75437	98382
434	75603	98197
435	75765	98008
436	75943	97839
437	76113	97661
438	76282	97481
439	76447	97296
440	76610	97109
441	76783	96934
442	76941	96740
443	77111	96563
444	77306	96415
445	77484	96247
446	77656	96071
447	77815	95880
448	77987	95704
449	78164	95534
450	78340	95363
451	78515	95191
452	78678	95004
453	78831	94806
454	78981	94604
455	79137	94409
456	79324	94251
457	79502	94083
458	79663	93895
459	79827	93710
460	79977	93509
461	80166	93353
462	80367	93212
463	80551	93050
464	80717	92868
465	80909	92715
466	81103	92565
467	81292	92409
468	81449	92216
469	81620	92039
470	81779	91850
471	81948	91671
472	82122	91497
473	82284	91311
474	82451	91130
475	82651	90985
476	82812	90799
477	82992	90631
478	83170	90463
479	83318	90261
480	83477	90072
481	83641	89888
482	83798	89697
483	83965	89516
484	84140	89344
485	84292	89149
486	84456	88965
487	84619	88780
488	84793	88608
489	84966	88434
490	85135	88256
491	85301	88075
492	85449	87876
493	85615	87695
494	85790	87523
495	85966	87353
496	86136	87175
497	86315	87008
498	86480	86827
499	86638	86638
500	86806	86459
501	86981	86288
502	87151	86111
503	87316	85930
504	87476	85744
505	87641	85562
506	87820	85395
507	87987	85215
508	88174	85056
509	88343	84879
510	88514	84703
511	88663	84506
512	88815	84314
513	89018	84169
514	89200	84004
515	89366	83824
516	89543	83655
517	89713	83478
518	89868	83288
519	90011	83087
520	90190	82920
521	90353	82737
522	90519	82557
523	90680	82373
524	90822	82173
525	90994	81998
526	91177	81835
527	91344	81656
528	91523	81488
529	91689	81309
530	91855	81130
531	92029	80958
532	92201	80784
533	92371	80609
534	92532	80425
535	92688	80238
536	92863	80066
537	93027	79886
538	93175	79692
539	93356	79525
540	93517	79343
541	93669	79152
542	93834	78972
543	94008	78801
544	94226	78666
545	94398	78492
546	94565	78314
547	94732	78137
548	94896	77956
549	95057	77774
550	95219	77592
551	95389	77417
552	95545	77231
553	95718	77058
554	95869	76868
555	96044	76697
556	96217	76524
557	96376	76341
558	96544	76165
559	96722	75996
560	96884	75815
561	97056	75642
562	97218	75461
563	97386	75284
564	97539	75096
565	97710	74922
566	97875	74744
567	98025	74554
568	98200	74384
